num_jobs,service_time,eps,instance_number,OPT,preemptive,non-preemptive,pre-non-pre
20.0,2000.0,0.19,4.0,174790.40475032298,155.48823189505492,1485.2107381759272,158.08747244230472
20.0,2000.0,0.19,5.0,185205.71313596718,231.0665938296006,675.1035348703444,214.9346422824019
20.0,2000.0,0.2,1.0,169619.39279595533,332.736514519871,2049.9891488319267,219.12757377835808
20.0,2000.0,0.2,2.0,180495.8157711623,101.59483689418992,3018.760559931543,94.91350878294908
20.0,2000.0,0.2,3.0,192272.02892005004,89.42770033722626,1521.6662706746135,146.76424044033047
20.0,2000.0,0.2,4.0,171949.9935365775,712.8398236134378,5175.589354909607,399.8847295505693
20.0,2000.0,0.2,5.0,186610.1439753063,131.9265334723459,5329.746471116872,170.22030908515444
20.0,2000.0,0.21,1.0,190910.79860188536,140.44820242820424,145.05872583235032,130.58022187103052
20.0,2000.0,0.21,2.0,183360.14301555237,216.0649240090279,590.4574544302012,270.29677538989927
20.0,2000.0,0.21,3.0,181043.11736554094,191.8654796098999,2800.3940322462586,195.17093215568454
20.0,2000.0,0.21,4.0,175995.5990978716,136.04197255775216,709.579736950458,136.02104031309136
20.0,2000.0,0.21,5.0,174100.48304508126,92.2214986999752,14.888483438495314,81.83507678395836
20.0,2000.0,0.22,1.0,178927.21289354266,145.97768740184256,132.79649013627204,170.20733105437833
20.0,2000.0,0.22,2.0,174521.9643337144,97.26555405143878,4831.191121813172,122.58906493024551
20.0,2000.0,0.22,3.0,193363.13406886449,64.11006170537439,3547.430087938905,64.11006169728354
20.0,2000.0,0.22,4.0,177293.38925490004,77.51882134540938,6898.205535151297,69.4803113435919
20.0,2000.0,0.22,5.0,183195.22390721523,221.8429202997068,2559.8782024063985,176.80161562995636
20.0,2000.0,0.23,1.0,167958.36386373904,87.61483556908208,228.04493912524777,101.52686368016293
20.0,2000.0,0.23,2.0,175599.02771619894,114.07327893364707,104.00294463464523,111.47439960952032
20.0,2000.0,0.23,3.0,203355.09674087007,235.9018477577192,4269.006596971158,267.0605926998251
20.0,2000.0,0.23,4.0,164784.66034179615,90.09893161960643,1606.9672021566657,125.793867457367
20.0,2000.0,0.23,5.0,184986.89088551496,224.17406926205155,821.3803546626295,307.99185316497466
20.0,2000.0,0.24,1.0,182119.28144490888,324.15486225951463,4316.195725536761,338.5355927609198
20.0,2000.0,0.24,2.0,175359.3667586806,172.50861349861952,1413.202018601849,171.1014681951783
