num_jobs,service_time,eps,instance_number,rep_number,OPT,preemptive,non-preemptive,pre-non-pre
5.0,20000.0,0.001,32.0,100.0,749.4287188399059,764.0564495624009,749.0802567023163,745.5696557572495
5.0,20000.0,0.001,33.0,100.0,749.2938292068018,750.8415903192122,781.8474021970517,722.2370295350469
5.0,20000.0,0.001,34.0,100.0,749.4341948714628,775.2623576985901,813.4320409057201,752.8151727646393
5.0,20000.0,0.001,35.0,100.0,750.3708981022464,723.9221613664107,733.3501866857208,756.2803144680313
5.0,20000.0,0.001,36.0,100.0,749.1201761354683,718.7595982746817,667.3372098508896,723.8933694803453
5.0,20000.0,0.001,37.0,100.0,749.2167565784102,723.6213635677573,768.4547405919055,741.477125133618
5.0,20000.0,0.001,38.0,100.0,750.2986473907688,773.3542569377722,720.9606365179825,737.8412266092148
5.0,20000.0,0.001,39.0,100.0,750.3754804092167,768.163679593588,757.7514267503743,800.4321538169803
5.0,20000.0,0.001,40.0,100.0,749.2716388611905,754.2081938735557,767.1537285635512,684.641645582978
5.0,20000.0,0.001,41.0,100.0,749.7426814469882,702.4316936952698,863.5587196748886,714.5333729966839
5.0,20000.0,0.001,42.0,100.0,750.020815448627,763.2780242085205,801.5633434680307,718.0594920991458
5.0,20000.0,0.001,43.0,100.0,749.7090814934361,743.599838370661,679.6350276213698,776.1491646571666
5.0,20000.0,0.001,44.0,100.0,750.059497337822,807.0206494488408,734.6024015349179,747.5055376734731
5.0,20000.0,0.001,45.0,100.0,750.3980284758568,723.6140442542661,749.9444418052065,764.5641307499801
5.0,20000.0,0.001,46.0,100.0,750.2497378974214,766.7141641183348,723.3480224017082,765.9736677352984
5.0,20000.0,0.001,47.0,100.0,749.7956876282037,779.8422798686157,761.0883864148187,816.4725167808507
5.0,20000.0,0.001,48.0,100.0,749.9353962395151,756.7692736563351,833.5396149179393,795.5551102037856
5.0,20000.0,0.001,49.0,100.0,749.9309339669337,732.206911538571,749.6082282584946,694.791289561783
5.0,20000.0,0.001,50.0,100.0,749.4699703276871,720.4992932625548,723.4056666326453,754.7542866058052
5.0,20000.0,0.001,51.0,100.0,749.2355905519826,780.3388473939583,695.3845077601935,692.1563465758153
5.0,20000.0,0.001,52.0,100.0,750.4072876498549,820.1748572228139,705.3902768179379,735.4087084681929
5.0,20000.0,0.001,53.0,100.0,750.750041223783,741.8469223222678,723.1360043411722,764.8269908711283
5.0,20000.0,0.001,54.0,100.0,749.1142577736441,713.8943230466452,724.4895753104088,774.0301197502043
5.0,20000.0,0.001,55.0,100.0,749.506880309279,715.307445990088,750.860866491766,722.2268559992857
5.0,20000.0,0.001,56.0,100.0,749.7865644176442,737.1433813849915,744.3592670332837,806.1606380351964
5.0,20000.0,0.001,57.0,100.0,749.0814242781639,764.2262049306952,802.2013155181359,757.517961294852
5.0,20000.0,0.001,58.0,100.0,749.1956634650471,792.3846506035602,747.1049805178346,769.4810146661276
5.0,20000.0,0.001,59.0,100.0,749.8345881421025,730.6407037239937,753.5259254369525,705.1174649563037
